,Unnamed: 0,Name,URL,logo_wiki_page,logo_src,svg_file_path
0,1,Walmart,www.walmart.com,https://commons.wikimedia.org/wiki/File:Walmart_logo.svg,https://upload.wikimedia.org/wikipedia/commons/c/ca/Walmart_logo.svg,logos/Walmart/Walmart.svg
1,2,Exxon Mobil,www.exxonmobil.com,https://commons.wikimedia.org/wiki/File:Exxon_Mobil_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/18/Exxon_Mobil_Logo.svg,logos/Exxon_Mobil/Exxon_Mobil.svg
2,3,Apple,www.apple.com,https://commons.wikimedia.org/wiki/File:Apple_Store_logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/46/Apple_Store_logo.svg,logos/Apple/Apple.svg
3,4,Berkshire Hathaway,www.berkshirehathaway.com,https://en.wikipedia.org/wiki/File:Fein_(company)_logo.svg,//upload.wikimedia.org/wikipedia/en/5/59/Fein_%28company%29_logo.svg,logos/Berkshire_Hathaway/Berkshire_Hathaway.svg
4,5,McKesson,www.mckesson.com,https://commons.wikimedia.org/wiki/File:McKesson_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/4/4e/McKesson_Logo.svg,logos/McKesson/McKesson.svg
5,6,UnitedHealth Group,www.unitedhealthgroup.com,https://en.wikipedia.org/wiki/File:UnitedHealth_Group_logo.svg,//upload.wikimedia.org/wikipedia/en/f/f3/UnitedHealth_Group_logo.svg,logos/UnitedHealth_Group/UnitedHealth_Group.svg
6,7,CVS Health,www.cvshealth.com,https://commons.wikimedia.org/wiki/File:CVS_Health_logo.svg,https://upload.wikimedia.org/wikipedia/commons/8/8e/CVS_Health_logo.svg,logos/CVS_Health/CVS_Health.svg
7,8,General Motors,www.gm.com,https://commons.wikimedia.org/wiki/File:General_Motors_logo.svg,https://upload.wikimedia.org/wikipedia/commons/d/d6/General_Motors_logo.svg,logos/General_Motors/General_Motors.svg
8,9,Ford Motor,www.ford.com,https://commons.wikimedia.org/wiki/File:Ford_Motor_Company_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/a/a0/Ford_Motor_Company_Logo.svg,logos/Ford_Motor/Ford_Motor.svg
9,10,AT&T,www.att.com,http://logos.wikia.com/wiki/File:AT%26T_logo.svg,Missing,Fail
