,Name,URL
1,Walmart,www.walmart.com
2,Exxon Mobil,www.exxonmobil.com
3,Apple,www.apple.com
4,Berkshire Hathaway,www.berkshirehathaway.com
5,McKesson,www.mckesson.com
6,UnitedHealth Group,www.unitedhealthgroup.com
7,CVS Health,www.cvshealth.com
8,General Motors,www.gm.com
9,Ford Motor,www.ford.com
10,AT&T,www.att.com
11,General Electric,www.ge.com
12,AmerisourceBergen,www.amerisourcebergen.com
13,Verizon,www.verizon.com
14,Chevron,www.chevron.com
15,Costco,www.costco.com
16,Fannie Mae,www.fanniemae.com
17,Kroger,www.thekrogerco.com
18,Amazon.com,www.amazon.com
19,Walgreens Boots Alliance,www.walgreensbootsalliance.com
20,HP,www.hp.com
21,Cardinal Health,www.cardinal.com
22,Express Scripts Holding,www.express-scripts.com
23,J.P. Morgan Chase,www.jpmorganchase.com
24,Boeing,www.boeing.com
25,Microsoft,www.microsoft.com
26,Bank of America Corp.,www.bankofamerica.com
27,Wells Fargo,www.wellsfargo.com
28,Home Depot,www.homedepot.com
29,Citigroup,www.citigroup.com
30,Phillips 66,www.phillips66.com
31,IBM,www.ibm.com
32,Valero Energy,www.valero.com
33,Anthem,www.antheminc.com
34,Procter & Gamble,www.pg.com
35,State Farm Insurance Cos.,www.statefarm.com
36,Alphabet,www.google.com
37,Comcast,www.comcastcorporation.com
38,Target,www.target.com
39,Johnson & Johnson,www.jnj.com
40,MetLife,www.metlife.com
41,Archer Daniels Midland,www.adm.com
42,Marathon Petroleum,www.marathonpetroleum.com
43,Freddie Mac,www.freddiemac.com
44,PepsiCo,www.pepsico.com
45,United Technologies,www.utc.com
46,Aetna,www.aetna.com
47,Lowe’s,www.lowes.com
48,UPS,www.ups.com
49,AIG,www.aig.com
50,Prudential Financial,www.prudential.com
