Unnamed: 0,School Name,URL,City,State,svg_file_path
0,University of Alaska,http://alaska.edu,Anchorage,AK,logos/University_of_Alaska/University_of_Alaska.svg
1,Alaska Christian College,http://alaskacc.edu,Soldotna,AK,Fail
2,National Park Community College,http://npcc.edu,Hot Springs National Park,AK,logos/National_Park_Community_College/National_Park_Community_College.svg
3,University of Alaska Fairbanks,http://uaf.edu,Fairbanks,AK,logos/University_of_Alaska_Fairbanks/University_of_Alaska_Fairbanks.svg
4,University of Arkansas - Fort Smith,http://uafs.edu,Fort Smith,AK,logos/University_of_Arkansas_Fort_Smith/University_of_Arkansas_Fort_Smith.svg
5,Alabama A&M University,http://aamu.edu,Huntville,AL,logos/Alabama_A_M_University/Alabama_A_M_University.svg
6,Athens State University,http://athens.edu,Athens,AL,logos/Athens_State_University/Athens_State_University.svg
7,Auburn University,http://auburn.edu,Auburn,AL,logos/Auburn_University/Auburn_University.svg
8,Auburn University at Montgomery,http://aum.edu,Montgomery,AL,logos/Auburn_University_at_Montgomery/Auburn_University_at_Montgomery.svg
9,Birmingham-Southern College,http://bsc.edu,Birmingham,AL,logos/Birmingham_Southern_College/Birmingham_Southern_College.svg
10,Calhoun Community College,http://calhoun.edu,Decatur,AL,logos/Calhoun_Community_College/Calhoun_Community_College.svg
11,Enterprise State Community College,http://escc.edu,Enterprise,AL,logos/Enterprise_State_Community_College/Enterprise_State_Community_College.svg
12,Faulkner State Community College,http://faulknerstate.edu,Bay Minette,AL,logos/Faulkner_State_Community_College/Faulkner_State_Community_College.svg
13,Gadsden State Community College,http://gadsdenstate.edu,Gadsden,AL,logos/Gadsden_State_Community_College/Gadsden_State_Community_College.svg
14,Huntingdon College,http://huntingdon.edu,Montgomery,AL,logos/Huntingdon_College/Huntingdon_College.svg
15,Jacksonville State University,http://jsu.edu,Jacksonville,AL,logos/Jacksonville_State_University/Jacksonville_State_University.svg
16,Lurleen B. Wallace Community College,http://lbwcc.edu,Andalusia,AL,logos/Lurleen_B_Wallace_Community_College/Lurleen_B_Wallace_Community_College.svg
17,University of Montevallo,http://montevallo.edu,Montevallo,AL,logos/University_of_Montevallo/University_of_Montevallo.svg
18,Northeast Alabama Community College,http://nacc.edu,Rainsville,AL,Fail
19,Northwest-Shoals Community College,http://nwscc.edu,Muscle Shoals,AL,logos/Northwest_Shoals_Community_College/Northwest_Shoals_Community_College.svg
20,Oakwood University,http://oakwood.edu,Huntsville,AL,logos/Oakwood_University/Oakwood_University.svg
21,Samford University,http://samford.edu,Birmingham,AL,logos/Samford_University/Samford_University.svg
22,Southeastern Bible College,http://sebc.edu,Birmingham,AL,logos/Southeastern_Bible_College/Southeastern_Bible_College.svg
23,University of South Alabama,http://southalabama.edu,Mobile,AL,logos/University_of_South_Alabama/University_of_South_Alabama.svg
24,Trenholm State Technical College,http://trenholmstate.edu,Montgomery,AL,logos/Trenholm_State_Technical_College/Trenholm_State_Technical_College.svg
25,Troy University,http://troy.edu,Troy,AL,logos/Troy_University/Troy_University.svg
26,Tuskegee University,http://tuskegee.edu,Tuskegee,AL,logos/Tuskegee_University/Tuskegee_University.svg
27,University of Alabama,http://ua.edu,Tuscaloosa,AL,logos/University_of_Alabama/University_of_Alabama.svg
28,University of Alabama at Birmingham,http://uab.edu,Birmingham,AL,logos/University_of_Alabama_at_Birmingham/University_of_Alabama_at_Birmingham.svg
29,University of Alabama in Huntsville,http://uah.edu,Huntsville,AL,logos/University_of_Alabama_in_Huntsville/University_of_Alabama_in_Huntsville.svg
30,University of North Alabama,http://una.edu,Florence,AL,logos/University_of_North_Alabama/University_of_North_Alabama.svg
31,Snead State Community College,http://snead.edu,Boaz,AL,logos/Snead_State_Community_College/Snead_State_Community_College.svg
32,Arkansas Northeastern College,http://anc.edu,Blytheville,AR,logos/Arkansas_Northeastern_College/Arkansas_Northeastern_College.svg
33,Arkansas State University,http://astate.edu,Jonesboro,AR,logos/Arkansas_State_University/Arkansas_State_University.svg
34,Arkansas Tech University,http://atu.edu,Russellville,AR,logos/Arkansas_Tech_University/Arkansas_Tech_University.svg
35,Central Baptist College,http://cbc.edu,Conway,AR,logos/Central_Baptist_College/Central_Baptist_College.svg
36,Harding University,http://harding.edu,Searcy,AR,logos/Harding_University/Harding_University.svg
37,Hendrix College,http://hendrix.edu,Conway,AR,logos/Hendrix_College/Hendrix_College.svg
38,Henderson State University,http://hsu.edu,Arkadelphia,AR,logos/Henderson_State_University/Henderson_State_University.svg
39,John Brown University,http://jbu.edu,Siloam Springs,AR,logos/John_Brown_University/John_Brown_University.svg
40,Lyon College,http://lyon.edu,Batesville,AR,logos/Lyon_College/Lyon_College.svg
41,Mid-South Community College,http://midsouthcc.edu,West Memphis,AR,logos/Mid_South_Community_College/Mid_South_Community_College.svg
42,North Arkansas College,http://northark.edu,Harrison,AR,logos/North_Arkansas_College/North_Arkansas_College.svg
43,Northwest Arkansas Community College,http://nwacc.edu,Bentonville,AR,logos/Northwest_Arkansas_Community_College/Northwest_Arkansas_Community_College.svg
44,Northwest Technical Institute,http://nwti.edu,Springdale,AR,logos/Northwest_Technical_Institute/Northwest_Technical_Institute.svg
45,Ouachita Baptist University,http://obu.edu,Arkadelphia,AR,logos/Ouachita_Baptist_University/Ouachita_Baptist_University.svg
46,University of the Ozarks,http://ozarks.edu,Clarksville,AR,logos/University_of_the_Ozarks/University_of_the_Ozarks.svg
