,School Name,URL,City,State
0,University of Alaska,http://alaska.edu,Anchorage,AK
1,Alaska Christian College,http://alaskacc.edu,Soldotna,AK
2,National Park Community College,http://npcc.edu,Hot Springs National Park,AK
3,University of Alaska Fairbanks,http://uaf.edu,Fairbanks,AK
4,University of Arkansas - Fort Smith,http://uafs.edu,Fort Smith,AK
5,Alabama A&M University,http://aamu.edu,Huntville,AL
6,Athens State University,http://athens.edu,Athens,AL
7,Auburn University,http://auburn.edu,Auburn,AL
8,Auburn University at Montgomery,http://aum.edu,Montgomery,AL
9,Birmingham-Southern College,http://bsc.edu,Birmingham,AL
10,Calhoun Community College,http://calhoun.edu,Decatur,AL
11,Enterprise State Community College,http://escc.edu,Enterprise,AL
12,Faulkner State Community College,http://faulknerstate.edu,Bay Minette,AL
13,Gadsden State Community College,http://gadsdenstate.edu,Gadsden,AL
14,Huntingdon College,http://huntingdon.edu,Montgomery,AL
15,Jacksonville State University,http://jsu.edu,Jacksonville,AL
16,Lurleen B. Wallace Community College,http://lbwcc.edu,Andalusia,AL
17,University of Montevallo,http://montevallo.edu,Montevallo,AL
18,Northeast Alabama Community College,http://nacc.edu,Rainsville,AL
19,Northwest-Shoals Community College,http://nwscc.edu,Muscle Shoals,AL
20,Oakwood University,http://oakwood.edu,Huntsville,AL
21,Samford University,http://samford.edu,Birmingham,AL
22,Southeastern Bible College,http://sebc.edu,Birmingham,AL
23,University of South Alabama,http://southalabama.edu,Mobile,AL
24,Trenholm State Technical College,http://trenholmstate.edu,Montgomery,AL
25,Troy University,http://troy.edu,Troy,AL
26,Tuskegee University,http://tuskegee.edu,Tuskegee,AL
27,University of Alabama,http://ua.edu,Tuscaloosa,AL
28,University of Alabama at Birmingham,http://uab.edu,Birmingham,AL
29,University of Alabama in Huntsville,http://uah.edu,Huntsville,AL
30,University of North Alabama,http://una.edu,Florence,AL
31,Snead State Community College,http://snead.edu,Boaz,AL
32,Arkansas Northeastern College,http://anc.edu,Blytheville,AR
33,Arkansas State University,http://astate.edu,Jonesboro,AR
34,Arkansas Tech University,http://atu.edu,Russellville,AR
35,Central Baptist College,http://cbc.edu,Conway,AR
36,Harding University,http://harding.edu,Searcy,AR
37,Hendrix College,http://hendrix.edu,Conway,AR
38,Henderson State University,http://hsu.edu,Arkadelphia,AR
39,John Brown University,http://jbu.edu,Siloam Springs,AR
40,Lyon College,http://lyon.edu,Batesville,AR
41,Mid-South Community College,http://midsouthcc.edu,West Memphis,AR
42,North Arkansas College,http://northark.edu,Harrison,AR
43,Northwest Arkansas Community College,http://nwacc.edu,Bentonville,AR
44,Northwest Technical Institute,http://nwti.edu,Springdale,AR
45,Ouachita Baptist University,http://obu.edu,Arkadelphia,AR
46,University of the Ozarks,http://ozarks.edu,Clarksville,AR
47,Phillips Community College U of A,http://pccua.edu,Helena-West Helena,AR
48,Pulaski Technical College,http://pulaskitech.edu,North Little Rock,AR
49,Southern Arkansas University Magnolia,http://saumag.edu,Magnolia,AR
50,Southeast Arkansas College,http://seark.edu,Pine Bluff,AR
51,University of Arkansas Community College Batesville,http://uaccb.edu,Batesville,AR
52,University of Arkansas at Little Rock,http://ualr.edu,Little Rock,AR
53,University of Arkansas for Medical Sciences,http://uams.edu,Little Rock,AR
54,University of Arkansas at Pine Bluff,http://uapb.edu,Pine Bluff,AR
55,University of Arkansas,http://uark.edu,Fayetteville,AR
56,University of Central Arkansas,http://uca.edu,Conway,AR
57,Williams Baptist College,http://wbcoll.edu,Walnut Ridge,AR
58,University of Arizona,http://arizona.edu,Tucson,AZ
59,Arizona State University,http://asu.edu,Tempe,AZ
60,Arizona Western College,http://azwestern.edu,Yuma,AZ
61,Bryan University,http://bryanuniversity.edu,Tempe,AZ
62,Central Arizona College,http://centralaz.edu,Coolidge,AZ
63,Glendale Community College,http://gccaz.edu,Glendale,AZ
64,Grand Canyon University,http://gcu.edu,Phoenix,AZ
65,Maricopa Community Colleges,http://maricopa.edu,Phoenix,AZ
66,Mesa Community College,http://mesacc.edu,Mesa,AZ
67,Northern Arizona University,http://nau.edu,Flagstaff,AZ
